nct_id,country
NCT00047320,Switzerland
NCT00047450,United States
NCT00047567,
NCT00047580,United States
NCT00047671,United States
NCT00047723,United States
NCT00048646,United States
NCT00048802,United States
NCT00048815,United States
NCT00048828,United States
NCT00048906,United States
NCT00049803,United States
NCT00049803,Canada
NCT00049803,Switzerland
NCT00049946,United States
NCT00050206,United States
NCT00050232,United States
NCT00050245,United States
NCT00050271,United States
NCT00050271,Puerto Rico
NCT00050778,United States
NCT00050778,Croatia
NCT00050778,Poland
NCT00050778,Russian Federation
NCT00050778,United Kingdom
NCT00050804,United States
NCT00050934,United States
NCT00050934,Brazil
NCT00050934,Germany
NCT00050934,Mexico
NCT00050947,United States
NCT00050947,Brazil
NCT00050947,Germany
NCT00050947,Mexico
NCT00051298,United States
NCT00051298,Russian Federation
NCT00051402,United States
NCT00051896,United States
NCT00051909,United States
NCT00051935,United States
NCT00052078,United States
NCT00053417,United States
NCT00053417,Canada
NCT00053573,United States
NCT00053573,France
NCT00053573,Israel
NCT00053573,United Kingdom
NCT00053599,United States
NCT00053677,United States
NCT00053703,United States
NCT00053937,United States
NCT00054704,United States
NCT00054730,United States
NCT00054756,United States
NCT00054795,United States
NCT00054795,Australia
NCT00054795,Austria
NCT00054795,Belgium
NCT00054795,Canada
NCT00054795,France
NCT00054795,Germany
NCT00054795,Netherlands
NCT00055393,United States
NCT00055484,United States
NCT00055549,United States
NCT00055575,United States
NCT00056199,United States
NCT00056225,United States
NCT00056238,United States
NCT00056277,United States
NCT00056290,United States
NCT00056329,United States
NCT00056329,Australia
NCT00056329,Canada
NCT00056329,United Kingdom
NCT00056498,United States
NCT00056524,United States
NCT00056576,United States
NCT00056576,Estonia
NCT00056576,Hungary
NCT00056576,Lithuania
NCT00056576,Ukraine
NCT00056810,United States
NCT00057278,United States
NCT00057551,United States
NCT00057577,United States
NCT00057642,United States
NCT00057681,United States
NCT00057707,United States
NCT00058071,United States
NCT00058838,United States
NCT00058838,Argentina
NCT00058838,Australia
NCT00058838,Austria
